item,general_factor_pattern,redundancy_factor_pattern,communality,uniqueness
q1,0.6799219067882032,0.15010823948646743,0.6251118732122258,0.37488812678777417
q2,0.7060545595839679,0.06928105816840617,0.570548968693375,0.429451031306625
q3,0.12054739132592888,0.8402607943429985,0.8597962188727342,0.14020378112726584
q4,0.5903010443473845,0.19103035573981625,0.5399456842335103,0.4600543157664897
q5,0.6733956634546413,0.0469322535559967,0.49910449655738437,0.5008955034426157
q6,0.5380186146303828,0.167269608720358,0.44114148305404455,0.5588585169459555
q7,0.6238698102607234,0.16529824892329015,0.5582833480255455,0.44171665197445453
q8,0.7577251784372512,-0.031356568882330196,0.5424726678693857,0.45752733213061425
q9,0.6587662535837565,-0.06898075371025239,0.3762703436372345,0.6237296563627654
q10,0.5694676262388291,-0.19166908485410547,0.21100300694609214,0.7889969930539078
q11,0.007180372231217171,0.9691575690532487,0.948883080783435,0.05111691921656503
q12,0.4439006230446694,-0.0539105961292497,0.1670606684934233,0.8329393315065767