item_1,item_2,observed_correlation,implied_correlation,standardised_residual,absolute_standardised_residual
q3,q9,0.5697089854921624,0.44074151954675767,0.12896746594540465,0.12896746594540465
q7,q8,0.589947799419616,0.49045983862032116,0.09948796079929478,0.09948796079929478
q7,q9,0.3072665382103525,0.4051976577346969,-0.09793111952434441,0.09793111952434441
q2,q9,0.3271657098691978,0.4197256035425634,-0.09255989367336559,0.09255989367336559
q2,q7,0.5987921660018855,0.5205501272990554,0.07824203870283009,0.07824203870283009
q1,q3,0.6603962406875693,0.5976306584128392,0.06276558227473006,0.06276558227473006
q5,q7,0.44709840000291173,0.5040746515214356,-0.05697625151852376,0.05697625151852376
q3,q7,0.4911322963014311,0.5466143884710097,-0.05548209216957861,0.05548209216957861
q2,q6,0.6118316513088087,0.5658815149224146,0.045950136386394114,0.045950136386394114
q4,q6,0.6113742728678,0.569357211367765,0.042017061500035036,0.042017061500035036
q2,q4,0.5020357179633619,0.5425258190180153,-0.04049010105465345,0.04049010105465345
q5,q9,0.3676023984695135,0.4064412363860464,-0.038838837916532865,0.038838837916532865
q3,q6,0.5554361618448382,0.5942155462170522,-0.038779384372213954,0.038779384372213954
q1,q9,0.48096636021305544,0.4430153104031771,0.037951049809878346,0.037951049809878346
q2,q5,0.5596007883251409,0.5221477303772306,0.03745305794791032,0.03745305794791032
q3,q4,0.5357673159735501,0.5696904164272679,-0.033923100453717825,0.033923100453717825
q3,q8,0.5004581224237972,0.5334828827952222,-0.03302476037142499,0.03302476037142499
q4,q8,0.5439279774327636,0.5111652301836183,0.03276274724914541,0.03276274724914541
q1,q2,0.5394571585968136,0.5691337840279356,-0.02967662543112204,0.02967662543112204
q1,q8,0.5081113925014745,0.5362351274718833,-0.028123734970408765,0.028123734970408765
q6,q8,0.5054749623621606,0.5331708550858208,-0.027695892723660354,0.027695892723660354
q8,q9,0.4227499542804357,0.3954634548769154,0.027286499403520348,0.027286499403520348
q3,q5,0.5751613300469932,0.5482919845060492,0.02686934554094389,0.02686934554094389
q6,q9,0.4142080235748547,0.4404837351431388,-0.026275711568284177,0.026275711568284177
q4,q9,0.44542784376398914,0.4223035969029852,0.02312424686100395,0.02312424686100395
q2,q8,0.4864575584294603,0.508044772344386,-0.02158721391492585,0.02158721391492585
q1,q6,0.5786339714535791,0.5972811114424933,-0.01864713998891432,0.01864713998891432
q6,q7,0.5623246794805093,0.5462946803021802,0.016029999178329146,0.016029999178329146
q1,q4,0.5607877219533808,0.5726294562100283,-0.011841734256647474,0.011841734256647474
q2,q3,0.5547244980266214,0.5662126858992402,-0.01148818787261896,0.01148818787261896
q5,q8,0.4823126801261884,0.4919650925945479,-0.009652412468359517,0.009652412468359517
q4,q5,0.5348461545320271,0.5253548098851533,0.009491344646873956,0.009491344646873956
q1,q7,0.543543250117253,0.5494343787450617,-0.005891128627808717,0.005891128627808717
q5,q6,0.5511601772092712,0.5479712951315147,0.003188882077756583,0.003188882077756583
q4,q7,0.5206157487510533,0.5237473941815547,-0.003131645430501373,0.003131645430501373
q1,q5,0.5483878248370305,0.5511206295184365,-0.0027328046814059093,0.0027328046814059093